food,portion,units,gross_weight,net_weight,energy,carbs,clasification
Salmón de aceite,35,g,35.0,35.0,71.0,0.0,A.O.A.MODERADOS EN GRASA
Sardina en aceite,3,pieza,36.0,36.0,75.0,0.0,A.O.A.MODERADOS EN GRASA
Sardina en tomate,1,pieza,38.0,38.0,71.0,0.3,A.O.A.MODERADOS EN GRASA
Sesos de cerdo cocidos,50,g,50.0,50.0,69.0,0.0,A.O.A.MODERADOS EN GRASA
Sesos de cordero cocidos,50,g,50.0,50.0,73.0,0.0,A.O.A.MODERADOS EN GRASA
Sesos de ternera cocidos,50,g,50.0,50.0,68.0,0.0,A.O.A.MODERADOS EN GRASA
Sierra,50,g,50.0,38.0,78.0,0.0,A.O.A.MODERADOS EN GRASA
Sierra fileteada,35,g,35.0,35.0,73.0,0.0,A.O.A.MODERADOS EN GRASA
Sierra picada,35,g,35.0,35.0,73.0,0.0,A.O.A.MODERADOS EN GRASA
Suarero crudo,29,g,29.0,29.0,76.0,0.0,A.O.A.MODERADOS EN GRASA
Sustituto de queso mozzarella,1,rebanada,28.0,28.0,69.0,6.6,A.O.A.MODERADOS EN GRASA
Ajonjoli,4,cucharadita,10.0,10.0,61.0,1.0,ACEITES Y GRASAS CON PROTEINAS
Ajonjoli tostado,5,cucharada,13.0,13.0,75.0,3.4,ACEITES Y GRASAS CON PROTEINAS
Almendra,10,pieza,12.0,12.0,66.0,0.5,ACEITES Y GRASAS CON PROTEINAS
Almendra acaramelada,6,pieza,12.0,12.0,72.0,3.4,ACEITES Y GRASAS CON PROTEINAS
Alemndra ahumada,10,pieza,12.0,12.0,71.0,2.1,ACEITES Y GRASAS CON PROTEINAS
Almendra deshidratada,10,pieza,12.0,12.0,71.0,2.4,ACEITES Y GRASAS CON PROTEINAS
Almendra fileteada,2,cucharada,12.0,12.0,72.0,2.2,ACEITES Y GRASAS CON PROTEINAS
Almendra picada,4,cucharadita,10.0,10.0,62.0,1.8,ACEITES Y GRASAS CON PROTEINAS
Almendra tostada,10,cucharada,12.0,12.0,71.0,3.0,ACEITES Y GRASAS CON PROTEINAS
Avellana,9,pieza,13.0,13.0,72.0,2.3,ACEITES Y GRASAS CON PROTEINAS
Avellana picada,5,cucharadita,12.0,12.0,71.0,2.3,ACEITES Y GRASAS CON PROTEINAS
Avellana salada,8,pieza,11.0,11.0,72.0,1.6,ACEITES Y GRASAS CON PROTEINAS
Avellana tostada,8,pieza,11.0,11.0,75.0,2.0,ACEITES Y GRASAS CON PROTEINAS
Cacahuate,14,pieza,12.0,12.0,73.0,2.7,ACEITES Y GRASAS CON PROTEINAS
Cacahuate acaramelado,5,cucharadita,14.0,14.0,75.0,2.5,ACEITES Y GRASAS CON PROTEINAS
Cacahucate cocido,20,g,20.0,20.0,64.0,4.3,ACEITES Y GRASAS CON PROTEINAS
Cacahuate con cáscara,12,g,12.0,12.0,70.0,0.2,ACEITES Y GRASAS CON PROTEINAS
Cacahuate con pepitas,12,g,12.0,12.0,75.0,2.4,ACEITES Y GRASAS CON PROTEINAS
Cacahuate con piel,15,pieza,14.0,14.0,72.0,2.9,ACEITES Y GRASAS CON PROTEINAS
Cacahuate enchilado,13,pieza,12.0,12.0,67.0,2.1,ACEITES Y GRASAS CON PROTEINAS
Cacahuate japonés,15,pieza,14.0,14.0,68.0,6.3,ACEITES Y GRASAS CON PROTEINAS
Cacahuate picado,5,cucharadita,12.0,12.0,74.0,2.7,ACEITES Y GRASAS CON PROTEINAS
Cacahuate salado,13,pieza,12.0,12.0,71.0,2.4,ACEITES Y GRASAS CON PROTEINAS
Cacahuate tostado,13,pieza,12.0,12.0,69.0,2.5,ACEITES Y GRASAS CON PROTEINAS
Cacahuates confitados,1/4,bolsa,14.0,14.0,72.0,7.1,ACEITES Y GRASAS CON PROTEINAS
Cacahuates cubiertos con salsa y limón,2,cucharada,13.0,13.0,72.0,5.3,ACEITES Y GRASAS CON PROTEINAS
Cacoa con cáscara,14,g,14.0,14.0,70.0,3.3,ACEITES Y GRASAS CON PROTEINAS
Cacoa pataste,12,g,12.0,12.0,72.0,2.6,ACEITES Y GRASAS CON PROTEINAS
Cacao sin cascara,12,g,12.0,12.0,67.0,2.5,ACEITES Y GRASAS CON PROTEINAS
Chía,7,cucharada,49.0,49.0,69.0,1.9,ACEITES Y GRASAS CON PROTEINAS
Chilorio,30,g,30.0,30.0,64.0,0.7,ACEITES Y GRASAS CON PROTEINAS
Chilorio de pavo,30,g,30.0,30.0,64.0,0.7,ACEITES Y GRASAS CON PROTEINAS
Chistorra,15,g,15.0,15.0,73.0,0.7,ACEITES Y GRASAS CON PROTEINAS
Chorizo,15,g,15.0,15.0,64.0,0.0,ACEITES Y GRASAS CON PROTEINAS
Chorizo de pollo,35,g,35.0,35.0,72.0,0.1,ACEITES Y GRASAS CON PROTEINAS
Chorizo vegetariano,15,g,15.0,15.0,70.0,0.2,ACEITES Y GRASAS CON PROTEINAS
Coroso,14,g,14.0,14.0,72.0,1.6,ACEITES Y GRASAS CON PROTEINAS
"Falafel, hecho en casa",20,g,20.0,20.0,67.0,6.4,ACEITES Y GRASAS CON PROTEINAS
Harina de ajonjolí,13,g,13.0,13.0,69.0,3.5,ACEITES Y GRASAS CON PROTEINAS
Harina de almendras,11,g,11.0,11.0,66.0,2.5,ACEITES Y GRASAS CON PROTEINAS
Harina de cacahuate,15,g,15.0,15.0,65.0,4.8,ACEITES Y GRASAS CON PROTEINAS
Hot nuts,1/4,paquete,13.0,13.0,68.0,5.3,ACEITES Y GRASAS CON PROTEINAS
"Hummus, de garbanzo (1 cda)",20,g,20.0,20.0,67.0,6.4,ACEITES Y GRASAS CON PROTEINAS
Jamón serrano,15,g,15.0,15.0,70.0,6.7,ACEITES Y GRASAS CON PROTEINAS
Kkwatte sabritas  japonés,15,g,15.0,15.0,74.0,6.6,ACEITES Y GRASAS CON PROTEINAS
Kkwatte sabritas  salados,10,g,10.0,10.0,60.0,1.2,ACEITES Y GRASAS CON PROTEINAS
Mafer tostados sazonados,12,g,12.0,12.0,66.0,1.7,ACEITES Y GRASAS CON PROTEINAS
Mantequilla de cacachuate,2,cucharadita,11.0,11.0,63.0,2.3,ACEITES Y GRASAS CON PROTEINAS
Mazapan Azteca Oreo,0.5,pieza,15.0,15.0,75.0,9.5,ACEITES Y GRASAS CON PROTEINAS
Mazapan sin azúcar,1,pieza,25.0,25.0,73.0,3.0,ACEITES Y GRASAS CON PROTEINAS
Nueces mixtas,1,cucharada,12.0,12.0,74.0,2.6,ACEITES Y GRASAS CON PROTEINAS
Nuez,3,pieza,9.0,9.0,67.0,1.3,ACEITES Y GRASAS CON PROTEINAS
Nuez acaramelada,3/4,taza,12.0,12.0,64.0,3.0,ACEITES Y GRASAS CON PROTEINAS
Nuez de castilla,3,pieza,9.0,9.0,67.0,1.3,ACEITES Y GRASAS CON PROTEINAS
Nuez de la india acaramelada,12,g,12.0,12.0,64.0,3.0,ACEITES Y GRASAS CON PROTEINAS
Nuez de la india con almendras,12,g,12.0,12.0,73.0,2.6,ACEITES Y GRASAS CON PROTEINAS
Nuez de la india sin sal,7,pieza,11.0,11.0,66.0,2.7,ACEITES Y GRASAS CON PROTEINAS
Nuez de la india sin sal en mitades,15,mitades,12.0,12.0,72.0,3.4,ACEITES Y GRASAS CON PROTEINAS
Nuez de la india tostada sin sal ,8,pieza,13.0,13.0,73.0,4.2,ACEITES Y GRASAS CON PROTEINAS
Nuez de macadamia deshidratada,4,pieza,10.0,10.0,73.0,1.4,ACEITES Y GRASAS CON PROTEINAS
Nuez deshidratada,3,pieza,9.0,9.0,67.0,1.3,ACEITES Y GRASAS CON PROTEINAS
Nuez en mitades,7,mitades,10.0,10.0,74.0,1.4,ACEITES Y GRASAS CON PROTEINAS
Nuez entera,3,pieza,9.0,9.0,67.0,1.3,ACEITES Y GRASAS CON PROTEINAS
Nuez garapiñada,3/4,taza,12.0,12.0,64.0,3.0,ACEITES Y GRASAS CON PROTEINAS
Nuez picada,10,g,10.0,10.0,71.0,1.4,ACEITES Y GRASAS CON PROTEINAS
Nuez tostada,3,pieza,9.0,9.0,67.0,1.3,ACEITES Y GRASAS CON PROTEINAS
Pasta de almendras,4,cucharadita,13.0,13.0,62.0,6.5,ACEITES Y GRASAS CON PROTEINAS
Pasta de cacahuate,5,cucharadita,13.0,13.0,73.0,2.2,ACEITES Y GRASAS CON PROTEINAS
Pasta de cacahucate desgrasada,7,cucharadita,18.0,18.0,76.0,4.9,ACEITES Y GRASAS CON PROTEINAS
Paté,5,cucharadita,22.0,22.0,69.0,0.3,ACEITES Y GRASAS CON PROTEINAS
Paté de cerdo,1,cucharada,13.0,13.0,61.0,0.6,ACEITES Y GRASAS CON PROTEINAS
Paté de Foie gras,1,cucharada,13.0,13.0,60.0,0.6,ACEITES Y GRASAS CON PROTEINAS
Paté de ganso,1,cucharada,13.0,13.0,61.0,0.6,ACEITES Y GRASAS CON PROTEINAS
Paté de higado  de cerdo,1,cucharada,13.0,13.0,61.0,0.6,ACEITES Y GRASAS CON PROTEINAS
Paté de hígado de ternera,1,cucharada,13.0,13.0,61.0,0.6,ACEITES Y GRASAS CON PROTEINAS
Paté de pollo,8,cucharadita,35.0,35.0,71.0,2.4,ACEITES Y GRASAS CON PROTEINAS
Paté de ternera,1,cucharada,13.0,13.0,61.0,0.6,ACEITES Y GRASAS CON PROTEINAS
Pepita limpia,1.5,cucharada,15.0,15.0,79.0,2.0,ACEITES Y GRASAS CON PROTEINAS
Pepitas,60,pieza,12.0,12.0,66.0,2.1,ACEITES Y GRASAS CON PROTEINAS
Pepitas con cáscara,2,cucharada,13.0,13.0,70.0,1.3,ACEITES Y GRASAS CON PROTEINAS
Pepitas de calabaza,1 1/2,cucharada,12.0,12.0,66.0,1.7,ACEITES Y GRASAS CON PROTEINAS
Pepitas de melón,5,cucharadita,12.0,12.0,66.0,1.8,ACEITES Y GRASAS CON PROTEINAS
Pepitas tostadas,1,cucharada,13.0,13.0,69.0,1.8,ACEITES Y GRASAS CON PROTEINAS
Pepperoni,4,rebanada,15.0,15.0,72.0,0.1,ACEITES Y GRASAS CON PROTEINAS
Piñón,1,cucharada,10.0,10.0,64.0,2.0,ACEITES Y GRASAS CON PROTEINAS
Pistache,18,pieza,13.0,13.0,73.0,2.5,ACEITES Y GRASAS CON PROTEINAS
Pistache tostado,18,pieza,13.0,13.0,74.0,3.2,ACEITES Y GRASAS CON PROTEINAS
Queso de puerco,20,g,20.0,20.0,75.0,0.0,ACEITES Y GRASAS CON PROTEINAS
Salsa bearnesa industrializada,4,cucharadita,17.0,17.0,61.0,9.9,ACEITES Y GRASAS CON PROTEINAS
Salsa bechabel,3,cucharada,45.0,45.0,66.0,4.1,ACEITES Y GRASAS CON PROTEINAS
Salsa blanca,3,cucharada,45.0,45.0,66.0,4.1,ACEITES Y GRASAS CON PROTEINAS
Salsa de ajonjolí,2,cucharadita,11.0,11.0,63.0,2.3,ACEITES Y GRASAS CON PROTEINAS
Salsa de cacahuate,2,cucharadita,11.0,11.0,63.0,2.3,ACEITES Y GRASAS CON PROTEINAS
Salsa de pimienta verde,5,cucharada,75.0,75.0,72.0,6.0,ACEITES Y GRASAS CON PROTEINAS
Salsa de queso,2,cucharada,34.0,34.0,67.0,1.8,ACEITES Y GRASAS CON PROTEINAS
Salsa pesto,4,cucharadita,24.0,24.0,66.0,0.9,ACEITES Y GRASAS CON PROTEINAS
Selección de botana mexicana,1,cucharada,10.0,10.0,62.0,2.0,ACEITES Y GRASAS CON PROTEINAS
Semilla de calabaza,1 1/2,cucharada,15.0,15.0,61.0,1.6,ACEITES Y GRASAS CON PROTEINAS
Semilla de calabaza menuda,2,cucharada,20.0,20.0,65.0,3.0,ACEITES Y GRASAS CON PROTEINAS
Semilla de chía,5,cucharadita,12.0,12.0,66.0,1.8,ACEITES Y GRASAS CON PROTEINAS
Semilla de girasol,4,cucharadita,12.0,12.0,69.0,2.1,ACEITES Y GRASAS CON PROTEINAS
Semilla de girasol tostada,4,cucharadita,12.0,12.0,71.0,2.9,ACEITES Y GRASAS CON PROTEINAS
Tocino vegetariano,2,rebanada,20.0,20.0,63.0,1.3,ACEITES Y GRASAS CON PROTEINAS
Aceite,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceite comestible,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceite de aguacate,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceite de ajonjolí,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceite de almendra,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceite de cachuate,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceite de cacao,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceite de canola,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceite de cártamo,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceite de coco,1,cucharadita,5.0,5.0,43.0,0.0,ACEITES Y GRASAS
Aceite de girasol,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceite de girasol 60% con ácido linoleico,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceite de girasol 70% con ácido aleico,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceite de hígado de bacalao,1,cucharadita,5.0,5.0,45.0,0.0,ACEITES Y GRASAS
Aceite de maíz,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceite de oliva,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceite de oliva extra virgen,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceite de olivo,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceite de palma,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceite de soya,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceite de soya y algodón,1,cucharadita,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceite en spray,5,disp.de un segundo,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Aceituna negra sin hueso,5,pieza,25.0,25.0,46.0,0.8,ACEITES Y GRASAS
Aceituna verde con hueso,6,pieza,30.0,25.0,46.0,0.8,ACEITES Y GRASAS
Aceituna verde sin hueso,8,pieza,24.0,24.0,44.0,0.8,ACEITES Y GRASAS
Aceitunas rellenas de anchoa,5,pieza,25.0,25.0,46.0,0.8,ACEITES Y GRASAS
Aceitunas rellenas de pimiento,7,pieza,35.0,35.0,44.0,2.6,ACEITES Y GRASAS
Aderezo,3,cucharada,45.0,45.0,48.0,2.1,ACEITES Y GRASAS
Aderezo blue cheese,1/2,cucharada,8.0,8.0,38.0,0.6,ACEITES Y GRASAS
Aderezo con queso y ajo,1/2,cucharada,8.0,8.0,33.0,0.2,ACEITES Y GRASAS
Aderezo cremoso,1/2,cucharada,8.0,8.0,38.0,0.6,ACEITES Y GRASAS
Aderezo de ciruela pasas,1/2,cucharada,8.0,8.0,39.0,1.1,ACEITES Y GRASAS
Aderezo de hierbas finas,1/2,cucharada,8.0,8.0,31.0,0.8,ACEITES Y GRASAS
Aderezo de mayonesa,1/2,cucharada,7.0,7.0,51.0,0.3,ACEITES Y GRASAS
Aderezo de miel y mostaza,1/2,cucharada,8.0,8.0,36.0,1.0,ACEITES Y GRASAS
Aderezo francés,1/2,cucharada,8.0,8.0,32.0,1.3,ACEITES Y GRASAS
Aderezo italiano,1/2,cucharada,8.0,8.0,35.0,0.8,ACEITES Y GRASAS
Aderezo italiano bajo en calorías,3,cucharada,45.0,45.0,48.0,2.1,ACEITES Y GRASAS
Aderezo italiano cremoso,1/2,cucharada,8.0,8.0,28.0,0.8,ACEITES Y GRASAS
Aderezo italiano cremoso bajo en calorías,4,cucharada,60.0,60.0,40.0,6.0,ACEITES Y GRASAS
Aderezo jalapeño,1/2,cucharada,8.0,8.0,33.0,0.7,ACEITES Y GRASAS
Aderezo mil islas,1/2,cucharada,8.0,8.0,28.0,1.1,ACEITES Y GRASAS
Aderezo ranch,1/2,cucharada,8.0,8.0,44.0,0.5,ACEITES Y GRASAS
Aderezo roquefort,1/2,cucharada,8.0,8.0,38.0,0.6,ACEITES Y GRASAS
Aderezo ruso,1/2,cucharada,8.0,8.0,37.0,0.8,ACEITES Y GRASAS
Aderezo tipo blue cheese,1/2,cucharada,8.0,8.0,38.0,0.6,ACEITES Y GRASAS
Aderezo tipo cesar,1/2,cucharada,8.0,8.0,33.0,0.5,ACEITES Y GRASAS
Aderezo tipo francés,1/2,cucharada,8.0,8.0,32.0,1.3,ACEITES Y GRASAS
Aderezo tipo mil islas,1/2,cucharada,8.0,8.0,28.0,1.1,ACEITES Y GRASAS
Aderezo tipo ranch,1/2,cucharada,8.0,8.0,44.0,0.5,ACEITES Y GRASAS
Aderezo vinagreta casera,2,cucharada,10.0,10.0,45.0,0.3,ACEITES Y GRASAS
Aderezo vinagreta comercial,4,cucharadita,20.0,20.0,41.0,2.7,ACEITES Y GRASAS
Aguacate California,1/3,cucharadita,58.0,58.0,54.0,2.1,ACEITES Y GRASAS
Aguacate de pellejo,1 1/2,pieza,68.0,68.0,44.0,2.0,ACEITES Y GRASAS
Aguacate florida,1/3,pieza,101.0,101.0,60.0,4.8,ACEITES Y GRASAS
Aguacate hass,1/3,pieza,58.0,58.0,54.0,2.1,ACEITES Y GRASAS
Aguacate madiano,1/3,pieza,58.0,58.0,44.0,2.3,ACEITES Y GRASAS
Aguacate verde,1/2,pieza,48.0,48.0,46.0,1.5,ACEITES Y GRASAS
Calahua,1,cucharada,19.0,19.0,35.0,1.6,ACEITES Y GRASAS
Coco,8,g,8.0,8.0,41.0,0.9,ACEITES Y GRASAS
Coco de aceite,8,g,8.0,8.0,41.0,0.9,ACEITES Y GRASAS
Coco deshidratado,6,g,6.0,6.0,40.0,1.5,ACEITES Y GRASAS
Coco en hojuelas,2,cucharada,9.0,9.0,44.0,4.4,ACEITES Y GRASAS
Coco entero,25,g,25.0,14.0,42.0,0.7,ACEITES Y GRASAS
Coco fresco,12,g,12.0,12.0,42.0,1.8,ACEITES Y GRASAS
Coco rallado,1 1/2,cucharada,9.0,9.0,44.0,4.2,ACEITES Y GRASAS
Coco rallado y endulzado,1 1/2,cucharada,9.0,9.0,44.0,4.2,ACEITES Y GRASAS
Ccoc seco,1 1/2,cucharada,9.0,9.0,44.0,4.2,ACEITES Y GRASAS
Coco seco y endulzado,1 1/2,cucharada,9.0,9.0,44.0,4.2,ACEITES Y GRASAS
Coquito,8,g,8.0,6.0,41.0,0.9,ACEITES Y GRASAS
Crema,1,cucharada,15.0,15.0,43.0,2.1,ACEITES Y GRASAS
Crema 20% grasa (dulce),1 1/3,cucharada,21.0,21.0,41.0,0.8,ACEITES Y GRASAS
Crema 40% grasa (agria),1,cucharada,13.0,13.0,45.0,0.4,ACEITES Y GRASAS
Crema ácida,2,cucharada,21.0,21.0,46.0,0.9,ACEITES Y GRASAS
Crema agria,1,cucharada,13.0,13.0,44.0,0.4,ACEITES Y GRASAS
Crema batida,1 1/2,cuchrada,12.0,12.0,42.0,0.3,ACEITES Y GRASAS
Crema batida en aerosol,5,cucharada,15.0,15.0,40.0,2.0,ACEITES Y GRASAS
Creama chantilly,1 1/2,cucharada,12.0,12.0,42.0,0.3,ACEITES Y GRASAS
Creama de coco dulce,3,cucharadita,19.0,19.0,36.0,10.1,ACEITES Y GRASAS
Creama de coco natural,3,cucharadita,15.0,15.0,50.0,1.0,ACEITES Y GRASAS
Crema de leche en polvo,4,cucharadita,8.0,8.0,44.0,4.4,ACEITES Y GRASAS
Crema dulce,4,cucharadita,19.0,19.0,36.0,0.7,ACEITES Y GRASAS
Crema dulce para batir,4,cucharadita,19.0,19.0,36.0,0.7,ACEITES Y GRASAS
Crema entera,1,cucharada,14.0,14.0,41.0,0.4,ACEITES Y GRASAS
Crema Lala Light,5,cucharada,80.0,80.0,39.0,1.4,ACEITES Y GRASAS
Crema ligera,1,cucharada,14.0,14.0,41.0,0.4,ACEITES Y GRASAS
Crema natural,1,cucharada,15.0,15.0,43.0,2.1,ACEITES Y GRASAS
Crema para batir,1 1/2,cucharada,21.0,21.0,41.0,0.8,ACEITES Y GRASAS
Crema para café,1,cucharada,14.0,14.0,41.0,0.4,ACEITES Y GRASAS
Dip,2,cucharada,30.0,30.0,48.0,1.9,ACEITES Y GRASAS
Dip de cebolla,2,cucharada,30.0,30.0,48.0,1.9,ACEITES Y GRASAS
Dip preparado,2,cucharada,30.0,30.0,48.0,1.9,ACEITES Y GRASAS
Dip preparado con crema,2,cucharada,30.0,30.0,48.0,1.9,ACEITES Y GRASAS
Grasa de tocino,5,g,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Grasas animales,5,g,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Grasas vegetales para cocinar,5,g,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Guacamole,2,cucharada,28.0,28.0,46.0,2.7,ACEITES Y GRASAS
Lardo,5,g,5.0,5.0,45.0,0.0,ACEITES Y GRASAS
Manteca de cerdo,1,cucharadita,4.0,4.0,39.0,0.0,ACEITES Y GRASAS
Manteca vegetal,1,cucharadita,4.0,4.0,38.0,0.0,ACEITES Y GRASAS
Mantequilla,1 1/2,cucharadita,6.0,6.0,47.0,0.0,ACEITES Y GRASAS
Mantequilla con sal,1 1/2,cucharadita,6.0,6.0,47.0,0.0,ACEITES Y GRASAS
Mantequilla derretida,1,cucharadita,5.0,5.0,36.0,0.0,ACEITES Y GRASAS
Mantequilla Lala Reducida en grasa,7,cucharada,84.0,84.0,32.0,0.2,ACEITES Y GRASAS
Mantequilla sin sal,1 1/2,cucharadita,6.0,6.0,47.0,0.0,ACEITES Y GRASAS
Margarita,1,cucharadita,4.0,4.0,39.0,0.0,ACEITES Y GRASAS
Margarita baja en grasa,2 1/2,cucharadita,11.0,11.0,42.0,0.0,ACEITES Y GRASAS
Margarita con sal,1 1/2,cucharadita,6.0,6.0,47.0,0.1,ACEITES Y GRASAS
Margarita sin sal,1,cucharadita,4.0,4.0,39.0,0.0,ACEITES Y GRASAS
Mayonesa,1,cucharadita,5.0,5.0,34.0,0.2,ACEITES Y GRASAS
Media crema,2,cucharada,30.0,30.0,40.0,1.2,ACEITES Y GRASAS
Pam,5,disp.de un segundo,5.0,5.0,44.0,0.0,ACEITES Y GRASAS
Praliné,1/2,cucharada,8.0,8.0,36.0,5.0,ACEITES Y GRASAS
Queso crema,1,cucharada,13.0,13.0,46.0,0.4,ACEITES Y GRASAS
Queso crema bajo en grasa,1,cucharada,13.0,13.0,32.0,0.3,ACEITES Y GRASAS
Queso crema untable,1,cucharada,10.0,10.0,37.0,0.3,ACEITES Y GRASAS
Queso Philadelphia,1,cucharada,13.0,13.0,46.0,0.4,ACEITES Y GRASAS
Salsa alfredo,1,cucharada,14.0,14.0,44.0,0.8,ACEITES Y GRASAS
Salsa holandesa industrializada,1/2,cucharada,8.0,8.0,44.0,2.6,ACEITES Y GRASAS
Salsa tártara industrializada,1,cucharadita,16.0,16.0,52.0,2.1,ACEITES Y GRASAS
Salsa tártara sin grasa,4,cucharada,62.0,62.0,48.0,9.7,ACEITES Y GRASAS
Salsa velouté,1 1/2,cucharada,21.0,21.0,38.0,1.1,ACEITES Y GRASAS
Tocino,1,rebanada delgada,8.0,8.0,44.0,0.0,ACEITES Y GRASAS
Tocino ahumado,1,rebanada delgada,8.0,8.0,44.0,0.0,ACEITES Y GRASAS
Tocino en lonja,8,g,8.0,8.0,44.0,0.0,ACEITES Y GRASAS
Tocino frito,1,rebanada   ,7.0,7.0,39.0,0.0,ACEITES Y GRASAS
Tocino imitación,1,cucharada,10.0,10.0,41.0,0.1,ACEITES Y GRASAS
Vinagreta,1/2,cucharada,8.0,8.0,36.0,0.2,ACEITES Y GRASAS
Vinagreta baja en calorías,5,cucharada,80.0,80.0,38.0,7.5,ACEITES Y GRASAS
Vinagreta comercial,1 1/2,,23.0,23.0,46.0,3.0,ACEITES Y GRASAS
Achiote                                                                                                                        ,1/4,cucharada,4.0,4.0,10.0,2.1,ALIMENTOS LIBRES EN ENERGIA
Agua,1,taza,240.0,240.0,2.0,0.0,ALIMENTOS LIBRES EN ENERGIA
Agua mineral,1,lata,355.0,355.0,4.0,0.0,ALIMENTOS LIBRES EN ENERGIA
Ajo en polvo,1/2,cucharadita,2.0,2.0,5.0,1.1,ALIMENTOS LIBRES EN ENERGIA
Albahaca deshidratada,1 1/2,cucharadita,2.0,2.0,5.0,0.9,ALIMENTOS LIBRES EN ENERGIA
Albahaca molida,1 1/2,cucharadita,2.0,2.0,5.0,0.9,ALIMENTOS LIBRES EN ENERGIA
Alcaparras,2,cucharada,17.0,17.0,4.0,0.8,ALIMENTOS LIBRES EN ENERGIA
Alcaravea,1/2,cucharadita,1.0,1.0,4.0,0.5,ALIMENTOS LIBRES EN ENERGIA
Anís,1/2,cucharadita,1.0,1.0,4.0,0.5,ALIMENTOS LIBRES EN ENERGIA
Arúgula,1,taza,20.0,12.0,3.0,0.4,ALIMENTOS LIBRES EN ENERGIA
Aspartame,1,sobre,1.0,1.0,0.0,0.0,ALIMENTOS LIBRES EN ENERGIA
Azafrán,1,cucharadita,1.0,1.0,3.0,0.7,ALIMENTOS LIBRES EN ENERGIA
Café americano,1,taza,240.0,240.0,5.0,0.9,ALIMENTOS LIBRES EN ENERGIA
Café con azúcar,1,taza,240.0,240.0,5.0,8.2,ALIMENTOS LIBRES EN ENERGIA
Café de grano,7,cucharada,56.0,56.0,4.0,0.0,ALIMENTOS LIBRES EN ENERGIA
Café descafeinado,1,taza,240.0,240.0,5.0,0.9,ALIMENTOS LIBRES EN ENERGIA
Café descafeinado preparado,1,taza,240.0,240.0,5.0,0.9,ALIMENTOS LIBRES EN ENERGIA
Café en polvo,1/2,cucharada,1.0,1.0,4.0,0.9,ALIMENTOS LIBRES EN ENERGIA
Café de polvo descafeinado,1,cucharadita,2.0,2.0,4.0,0.7,ALIMENTOS LIBRES EN ENERGIA
Café en polvo sabor moka,2,cucharadita,4.0,4.0,8.0,1.4,ALIMENTOS LIBRES EN ENERGIA
Café express,5 1 /2,taza,440.0,440.0,10.0,1.7,ALIMENTOS LIBRES EN ENERGIA
Café instantáneo,1,cucharadita,2.0,2.0,4.0,0.7,ALIMENTOS LIBRES EN ENERGIA
Café intantánio preparado,1,taza,240.0,240.0,5.0,0.9,ALIMENTOS LIBRES EN ENERGIA
"Café instantáneo, descafeinado",1,cucharadita,2.0,2.0,4.0,0.8,ALIMENTOS LIBRES EN ENERGIA
Café molido,1,cucharada,4.0,4.0,1.0,0.0,ALIMENTOS LIBRES EN ENERGIA
Café ó té sin azúcar,1,taza,240.0,240.0,3.0,0.5,ALIMENTOS LIBRES EN ENERGIA
Café sin azúcar,1,taza,240.0,240.0,5.0,0.9,ALIMENTOS LIBRES EN ENERGIA
Caldo,1/2,taza,120.0,120.0,9.0,0.1,ALIMENTOS LIBRES EN ENERGIA
Caldo de carne,1/2,taza,120.0,120.0,9.0,0.1,ALIMENTOS LIBRES EN ENERGIA
Caldo de carne concentrado,1/4,taza,62.0,62.0,8.0,0.5,ALIMENTOS LIBRES EN ENERGIA
Caldo de pescado,1/2,taza,120.0,120.0,9.0,0.1,ALIMENTOS LIBRES EN ENERGIA
Caldo de pollo,1/2,taza,120.0,120.0,9.0,0.4,ALIMENTOS LIBRES EN ENERGIA
